region,year,периодов_получено,ожидалось,полный_сезон
Омская область,2017,22,23,False
Оренбургская область,2017,22,23,False
Оренбургская область,2025,22,23,False
Орловская область,2017,22,23,False
Пензенская область,2017,22,23,False
Пермский край,2015,22,23,False
Пермский край,2017,22,23,False
Приморский край,2017,22,23,False
Псковская область,2017,22,23,False
Республика Адыгея,2017,22,23,False
Республика Адыгея,2022,22,23,False
Республика Алтай,2017,22,23,False
Республика Алтай,2022,22,23,False
Республика Башкортостан,2017,22,23,False
Республика Башкортостан,2025,22,23,False
Республика Бурятия,2017,22,23,False
Республика Дагестан,2017,22,23,False
Республика Ингушетия,2013,22,23,False
Республика Ингушетия,2017,22,23,False
Республика Ингушетия,2021,22,23,False
Республика Ингушетия,2022,22,23,False
Республика Калмыкия,2017,22,23,False
Республика Карелия,2012,22,23,False
Республика Коми,2014,22,23,False
Республика Коми,2022,22,23,False
Республика Коми,2023,22,23,False
Республика Марий Эл,2013,22,23,False
Республика Марий Эл,2017,22,23,False
Республика Мордовия,2017,22,23,False
Республика Саха (Якутия),2013,22,23,False
Республика Саха (Якутия),2014,22,23,False
Республика Саха (Якутия),2016,22,23,False
Республика Саха (Якутия),2025,22,23,False
Республика Северная Осетия – Алания,2017,22,23,False
Республика Северная Осетия – Алания,2021,22,23,False
Республика Северная Осетия – Алания,2022,22,23,False
Республика Татарстан,2017,22,23,False
Республика Тыва,2017,22,23,False
Республика Хакасия,2017,22,23,False
Республика Хакасия,2025,22,23,False
Ростовская область,2017,22,23,False
Ростовская область,2022,22,23,False
Рязанская область,2017,22,23,False
Самарская область,2017,22,23,False
Саратовская область,2017,22,23,False
Свердловская область,2017,22,23,False
Свердловская область,2025,22,23,False
Смоленская область,2017,22,23,False
Ставропольский край,2017,22,23,False
Ставропольский край,2022,22,23,False
Тамбовская область,2017,22,23,False
Тверская область,2017,22,23,False
Томская область,2013,22,23,False
Томская область,2015,22,23,False
Томская область,2017,22,23,False
Тульская область,2017,22,23,False
Тюменская область без автономных округов,2017,22,23,False
Ульяновская область,2017,22,23,False
Хабаровский край,2013,22,23,False
Хабаровский край,2017,22,23,False
Челябинская область,2017,22,23,False
Челябинская область,2025,22,23,False
Чеченская Республика,2013,22,23,False
Чеченская Республика,2017,22,23,False
Чувашская Республика,2013,22,23,False
Чувашская Республика,2017,22,23,False
Ярославская область,2017,22,23,False
г. Москва,2015,22,23,False
г. Москва,2023,22,23,False
г. Москва,2025,22,23,False
Алтайский край,2012,23,23,True
Алтайский край,2013,23,23,True
Алтайский край,2014,23,23,True
Алтайский край,2015,23,23,True
Алтайский край,2016,23,23,True
Алтайский край,2018,23,23,True
Алтайский край,2019,23,23,True
Алтайский край,2020,23,23,True
Алтайский край,2021,23,23,True
Алтайский край,2022,23,23,True
Алтайский край,2023,23,23,True
Алтайский край,2024,23,23,True
Алтайский край,2025,23,23,True
Амурская область,2012,23,23,True
Амурская область,2013,23,23,True
Амурская область,2014,23,23,True
Амурская область,2015,23,23,True
Амурская область,2016,23,23,True
Амурская область,2018,23,23,True
Амурская область,2019,23,23,True
Амурская область,2020,23,23,True
Амурская область,2021,23,23,True
Амурская область,2022,23,23,True
Амурская область,2023,23,23,True
Амурская область,2024,23,23,True
Амурская область,2025,23,23,True
Архангельская область без автономного округа,2013,23,23,True
Архангельская область без автономного округа,2014,23,23,True
Архангельская область без автономного округа,2016,23,23,True
Архангельская область без автономного округа,2020,23,23,True
Архангельская область без автономного округа,2021,23,23,True
Архангельская область без автономного округа,2022,23,23,True
Архангельская область без автономного округа,2023,23,23,True
Архангельская область без автономного округа,2024,23,23,True
Архангельская область без автономного округа,2025,23,23,True
Астраханская область,2012,23,23,True
Астраханская область,2013,23,23,True
Астраханская область,2014,23,23,True
Астраханская область,2015,23,23,True
Астраханская область,2016,23,23,True
Астраханская область,2018,23,23,True
Астраханская область,2019,23,23,True
Астраханская область,2020,23,23,True
Астраханская область,2021,23,23,True
Астраханская область,2022,23,23,True
Астраханская область,2023,23,23,True
Астраханская область,2024,23,23,True
Астраханская область,2025,23,23,True
Белгородская область,2012,23,23,True
Белгородская область,2013,23,23,True
Белгородская область,2014,23,23,True
Белгородская область,2015,23,23,True
Белгородская область,2016,23,23,True
Белгородская область,2018,23,23,True
Белгородская область,2019,23,23,True
Белгородская область,2020,23,23,True
Белгородская область,2021,23,23,True
Белгородская область,2022,23,23,True
Белгородская область,2023,23,23,True
Белгородская область,2024,23,23,True
Белгородская область,2025,23,23,True
Брянская область,2012,23,23,True
Брянская область,2013,23,23,True
Брянская область,2014,23,23,True
Брянская область,2015,23,23,True
Брянская область,2016,23,23,True
Брянская область,2018,23,23,True
Брянская область,2019,23,23,True
Брянская область,2020,23,23,True
Брянская область,2021,23,23,True
Брянская область,2022,23,23,True
Брянская область,2023,23,23,True
Брянская область,2024,23,23,True
Брянская область,2025,23,23,True
Владимирская область,2012,23,23,True
Владимирская область,2014,23,23,True
Владимирская область,2015,23,23,True
Владимирская область,2016,23,23,True
Владимирская область,2018,23,23,True
Владимирская область,2019,23,23,True
Владимирская область,2020,23,23,True
Владимирская область,2021,23,23,True
Владимирская область,2023,23,23,True
Владимирская область,2024,23,23,True
Владимирская область,2025,23,23,True
Волгоградская область,2012,23,23,True
Волгоградская область,2013,23,23,True
Волгоградская область,2014,23,23,True
Волгоградская область,2015,23,23,True
Волгоградская область,2016,23,23,True
Волгоградская область,2018,23,23,True
Волгоградская область,2019,23,23,True
Волгоградская область,2020,23,23,True
Волгоградская область,2021,23,23,True
Волгоградская область,2022,23,23,True
Волгоградская область,2023,23,23,True
Волгоградская область,2024,23,23,True
Волгоградская область,2025,23,23,True
Вологодская область,2013,23,23,True
Вологодская область,2014,23,23,True
Вологодская область,2015,23,23,True
Вологодская область,2016,23,23,True
Вологодская область,2018,23,23,True
Вологодская область,2019,23,23,True
Вологодская область,2020,23,23,True
Вологодская область,2021,23,23,True
Вологодская область,2022,23,23,True
Вологодская область,2023,23,23,True
Вологодская область,2024,23,23,True
Вологодская область,2025,23,23,True
Воронежская область,2012,23,23,True
Воронежская область,2013,23,23,True
Воронежская область,2014,23,23,True
Воронежская область,2015,23,23,True
Воронежская область,2016,23,23,True
Воронежская область,2018,23,23,True
Воронежская область,2019,23,23,True
Воронежская область,2020,23,23,True
Воронежская область,2021,23,23,True
Воронежская область,2022,23,23,True
Воронежская область,2023,23,23,True
Воронежская область,2024,23,23,True
Воронежская область,2025,23,23,True
Еврейская автономная область,2012,23,23,True
Еврейская автономная область,2013,23,23,True
Еврейская автономная область,2014,23,23,True
Еврейская автономная область,2015,23,23,True
Еврейская автономная область,2016,23,23,True
Еврейская автономная область,2018,23,23,True
Еврейская автономная область,2019,23,23,True
Еврейская автономная область,2020,23,23,True
Еврейская автономная область,2021,23,23,True
Еврейская автономная область,2022,23,23,True
Еврейская автономная область,2023,23,23,True
Еврейская автономная область,2024,23,23,True
Еврейская автономная область,2025,23,23,True
Забайкальский край,2012,23,23,True
Забайкальский край,2013,23,23,True
Забайкальский край,2014,23,23,True
Забайкальский край,2015,23,23,True
Забайкальский край,2016,23,23,True
Забайкальский край,2018,23,23,True
Забайкальский край,2019,23,23,True
Забайкальский край,2020,23,23,True
Забайкальский край,2021,23,23,True
Забайкальский край,2022,23,23,True
Забайкальский край,2023,23,23,True
Забайкальский край,2024,23,23,True
Забайкальский край,2025,23,23,True
Ивановская область,2012,23,23,True
Ивановская область,2014,23,23,True
Ивановская область,2015,23,23,True
Ивановская область,2016,23,23,True
Ивановская область,2018,23,23,True
Ивановская область,2019,23,23,True
Ивановская область,2020,23,23,True
Ивановская область,2021,23,23,True
Ивановская область,2022,23,23,True
Ивановская область,2023,23,23,True
Ивановская область,2024,23,23,True
Ивановская область,2025,23,23,True
Иркутская область,2012,23,23,True
Иркутская область,2013,23,23,True
Иркутская область,2014,23,23,True
Иркутская область,2015,23,23,True
Иркутская область,2016,23,23,True
Иркутская область,2018,23,23,True
Иркутская область,2019,23,23,True
Иркутская область,2020,23,23,True
Иркутская область,2021,23,23,True
Иркутская область,2022,23,23,True
Иркутская область,2023,23,23,True
Иркутская область,2024,23,23,True
Иркутская область,2025,23,23,True
Кабардино-Балкарская Республика,2012,23,23,True
Кабардино-Балкарская Республика,2014,23,23,True
Кабардино-Балкарская Республика,2015,23,23,True
Кабардино-Балкарская Республика,2016,23,23,True
Кабардино-Балкарская Республика,2018,23,23,True
Кабардино-Балкарская Республика,2019,23,23,True
Кабардино-Балкарская Республика,2020,23,23,True
Кабардино-Балкарская Республика,2023,23,23,True
Кабардино-Балкарская Республика,2024,23,23,True
Кабардино-Балкарская Республика,2025,23,23,True
Калининградская область,2012,23,23,True
Калининградская область,2013,23,23,True
Калининградская область,2014,23,23,True
Калининградская область,2015,23,23,True
Калининградская область,2016,23,23,True
Калининградская область,2018,23,23,True
Калининградская область,2019,23,23,True
Калининградская область,2020,23,23,True
Калининградская область,2021,23,23,True
Калининградская область,2022,23,23,True
Калининградская область,2023,23,23,True
Калининградская область,2024,23,23,True
Калининградская область,2025,23,23,True
Калужская область,2012,23,23,True
Калужская область,2013,23,23,True
Калужская область,2014,23,23,True
Калужская область,2015,23,23,True
Калужская область,2016,23,23,True
Калужская область,2018,23,23,True
Калужская область,2019,23,23,True
Калужская область,2020,23,23,True
Калужская область,2021,23,23,True
Калужская область,2022,23,23,True
Калужская область,2023,23,23,True
Калужская область,2024,23,23,True
Калужская область,2025,23,23,True
Карачаево-Черкесская Республика,2012,23,23,True
Карачаево-Черкесская Республика,2013,23,23,True
Карачаево-Черкесская Республика,2014,23,23,True
Карачаево-Черкесская Республика,2015,23,23,True
Карачаево-Черкесская Республика,2016,23,23,True
Карачаево-Черкесская Республика,2018,23,23,True
Карачаево-Черкесская Республика,2019,23,23,True
Карачаево-Черкесская Республика,2020,23,23,True
Карачаево-Черкесская Республика,2021,23,23,True
Карачаево-Черкесская Республика,2025,23,23,True
Кемеровская область,2012,23,23,True
Кемеровская область,2013,23,23,True
Кемеровская область,2014,23,23,True
Кемеровская область,2015,23,23,True
Кемеровская область,2016,23,23,True
Кемеровская область,2018,23,23,True
Кемеровская область,2019,23,23,True
Кемеровская область,2020,23,23,True
Кемеровская область,2021,23,23,True
Кемеровская область,2022,23,23,True
Кемеровская область,2023,23,23,True
Кемеровская область,2024,23,23,True
Кемеровская область,2025,23,23,True
Кировская область,2012,23,23,True
Кировская область,2013,23,23,True
Кировская область,2014,23,23,True
Кировская область,2015,23,23,True
Кировская область,2016,23,23,True
Кировская область,2018,23,23,True
Кировская область,2019,23,23,True
Кировская область,2020,23,23,True
Кировская область,2021,23,23,True
Кировская область,2022,23,23,True
Кировская область,2023,23,23,True
Кировская область,2024,23,23,True
Кировская область,2025,23,23,True
Костромская область,2012,23,23,True
Костромская область,2014,23,23,True
Костромская область,2015,23,23,True
Костромская область,2016,23,23,True
Костромская область,2018,23,23,True
Костромская область,2020,23,23,True
Костромская область,2021,23,23,True
Костромская область,2022,23,23,True
Костромская область,2023,23,23,True
Костромская область,2024,23,23,True
Костромская область,2025,23,23,True
Краснодарский край,2012,23,23,True
Краснодарский край,2013,23,23,True
Краснодарский край,2014,23,23,True
Краснодарский край,2015,23,23,True
Краснодарский край,2016,23,23,True
Краснодарский край,2018,23,23,True
Краснодарский край,2019,23,23,True
Краснодарский край,2020,23,23,True
Краснодарский край,2021,23,23,True
Краснодарский край,2022,23,23,True
Краснодарский край,2023,23,23,True
Краснодарский край,2024,23,23,True
Краснодарский край,2025,23,23,True
Красноярский край,2012,23,23,True
Красноярский край,2013,23,23,True
Красноярский край,2014,23,23,True
Красноярский край,2015,23,23,True
Красноярский край,2016,23,23,True
Красноярский край,2018,23,23,True
Красноярский край,2019,23,23,True
Красноярский край,2020,23,23,True
Красноярский край,2021,23,23,True
Красноярский край,2022,23,23,True
Красноярский край,2023,23,23,True
Красноярский край,2024,23,23,True
Красноярский край,2025,23,23,True
Курганская область,2012,23,23,True
Курганская область,2013,23,23,True
Курганская область,2014,23,23,True
Курганская область,2015,23,23,True
Курганская область,2016,23,23,True
Курганская область,2018,23,23,True
Курганская область,2019,23,23,True
Курганская область,2020,23,23,True
Курганская область,2021,23,23,True
Курганская область,2022,23,23,True
Курганская область,2023,23,23,True
Курганская область,2024,23,23,True
Курская область,2012,23,23,True
Курская область,2013,23,23,True
Курская область,2014,23,23,True
Курская область,2015,23,23,True
Курская область,2016,23,23,True
Курская область,2018,23,23,True
Курская область,2019,23,23,True
Курская область,2020,23,23,True
Курская область,2021,23,23,True
Курская область,2022,23,23,True
Курская область,2023,23,23,True
Курская область,2024,23,23,True
Курская область,2025,23,23,True
Ленинградская область,2012,23,23,True
Ленинградская область,2013,23,23,True
Ленинградская область,2014,23,23,True
Ленинградская область,2015,23,23,True
Ленинградская область,2016,23,23,True
Ленинградская область,2018,23,23,True
Ленинградская область,2019,23,23,True
Ленинградская область,2020,23,23,True
Ленинградская область,2021,23,23,True
Ленинградская область,2022,23,23,True
Ленинградская область,2023,23,23,True
Ленинградская область,2024,23,23,True
Ленинградская область,2025,23,23,True
Липецкая область,2012,23,23,True
Липецкая область,2013,23,23,True
Липецкая область,2014,23,23,True
Липецкая область,2015,23,23,True
Липецкая область,2016,23,23,True
Липецкая область,2018,23,23,True
Липецкая область,2019,23,23,True
Липецкая область,2020,23,23,True
Липецкая область,2021,23,23,True
Липецкая область,2022,23,23,True
Липецкая область,2023,23,23,True
Липецкая область,2024,23,23,True
Липецкая область,2025,23,23,True
Московская область,2012,23,23,True
Московская область,2013,23,23,True
Московская область,2014,23,23,True
Московская область,2015,23,23,True
Московская область,2016,23,23,True
Московская область,2018,23,23,True
Московская область,2019,23,23,True
Московская область,2020,23,23,True
Московская область,2021,23,23,True
Московская область,2022,23,23,True
Московская область,2023,23,23,True
Московская область,2024,23,23,True
Московская область,2025,23,23,True
Нижегородская область,2012,23,23,True
Нижегородская область,2013,23,23,True
Нижегородская область,2014,23,23,True
Нижегородская область,2015,23,23,True
Нижегородская область,2016,23,23,True
Нижегородская область,2018,23,23,True
Нижегородская область,2019,23,23,True
Нижегородская область,2020,23,23,True
Нижегородская область,2021,23,23,True
Нижегородская область,2022,23,23,True
Нижегородская область,2023,23,23,True
Нижегородская область,2024,23,23,True
Нижегородская область,2025,23,23,True
Новгородская область,2012,23,23,True
Новгородская область,2013,23,23,True
Новгородская область,2014,23,23,True
Новгородская область,2015,23,23,True
Новгородская область,2016,23,23,True
Новгородская область,2018,23,23,True
Новгородская область,2019,23,23,True
Новгородская область,2020,23,23,True
Новгородская область,2021,23,23,True
Новгородская область,2022,23,23,True
Новгородская область,2023,23,23,True
Новгородская область,2024,23,23,True
Новгородская область,2025,23,23,True
Новосибирская область,2012,23,23,True
Новосибирская область,2013,23,23,True
Новосибирская область,2014,23,23,True
Новосибирская область,2015,23,23,True
Новосибирская область,2016,23,23,True
Новосибирская область,2018,23,23,True
Новосибирская область,2019,23,23,True
Новосибирская область,2020,23,23,True
Новосибирская область,2021,23,23,True
Новосибирская область,2022,23,23,True
Новосибирская область,2023,23,23,True
Новосибирская область,2024,23,23,True
Новосибирская область,2025,23,23,True
Омская область,2012,23,23,True
Омская область,2013,23,23,True
Омская область,2014,23,23,True
Омская область,2015,23,23,True
Омская область,2016,23,23,True
Омская область,2018,23,23,True
Омская область,2019,23,23,True
Омская область,2020,23,23,True
Омская область,2021,23,23,True
Омская область,2022,23,23,True
Омская область,2023,23,23,True
Омская область,2024,23,23,True
Омская область,2025,23,23,True
Оренбургская область,2012,23,23,True
Оренбургская область,2013,23,23,True
Оренбургская область,2014,23,23,True
Оренбургская область,2015,23,23,True
Оренбургская область,2016,23,23,True
Оренбургская область,2018,23,23,True
Оренбургская область,2019,23,23,True
Оренбургская область,2020,23,23,True
Оренбургская область,2021,23,23,True
Оренбургская область,2022,23,23,True
Оренбургская область,2023,23,23,True
Оренбургская область,2024,23,23,True
Орловская область,2012,23,23,True
Орловская область,2013,23,23,True
Орловская область,2014,23,23,True
Орловская область,2015,23,23,True
Орловская область,2016,23,23,True
Орловская область,2018,23,23,True
Орловская область,2019,23,23,True
Орловская область,2020,23,23,True
Орловская область,2021,23,23,True
Орловская область,2022,23,23,True
Орловская область,2023,23,23,True
Орловская область,2024,23,23,True
Орловская область,2025,23,23,True
Пензенская область,2012,23,23,True
Пензенская область,2013,23,23,True
Пензенская область,2014,23,23,True
Пензенская область,2015,23,23,True
Пензенская область,2016,23,23,True
Пензенская область,2018,23,23,True
Пензенская область,2019,23,23,True
Пензенская область,2020,23,23,True
Пензенская область,2021,23,23,True
Пензенская область,2022,23,23,True
Пензенская область,2023,23,23,True
Пензенская область,2024,23,23,True
Пензенская область,2025,23,23,True
Пермский край,2012,23,23,True
Пермский край,2013,23,23,True
Пермский край,2014,23,23,True
Пермский край,2016,23,23,True
Пермский край,2018,23,23,True
Пермский край,2019,23,23,True
Пермский край,2020,23,23,True
Пермский край,2021,23,23,True
Пермский край,2022,23,23,True
Пермский край,2023,23,23,True
Пермский край,2024,23,23,True
Пермский край,2025,23,23,True
Приморский край,2012,23,23,True
Приморский край,2013,23,23,True
Приморский край,2014,23,23,True
Приморский край,2015,23,23,True
Приморский край,2016,23,23,True
Приморский край,2018,23,23,True
Приморский край,2019,23,23,True
Приморский край,2020,23,23,True
Приморский край,2021,23,23,True
Приморский край,2022,23,23,True
Приморский край,2023,23,23,True
Приморский край,2024,23,23,True
Приморский край,2025,23,23,True
Псковская область,2012,23,23,True
Псковская область,2013,23,23,True
Псковская область,2014,23,23,True
Псковская область,2015,23,23,True
Псковская область,2016,23,23,True
Псковская область,2018,23,23,True
Псковская область,2019,23,23,True
Псковская область,2020,23,23,True
Псковская область,2021,23,23,True
Псковская область,2022,23,23,True
Псковская область,2023,23,23,True
Псковская область,2024,23,23,True
Псковская область,2025,23,23,True
Республика Адыгея,2012,23,23,True
Республика Адыгея,2013,23,23,True
Республика Адыгея,2014,23,23,True
Республика Адыгея,2015,23,23,True
Республика Адыгея,2016,23,23,True
Республика Адыгея,2018,23,23,True
Республика Адыгея,2019,23,23,True
Республика Адыгея,2020,23,23,True
Республика Адыгея,2021,23,23,True
Республика Адыгея,2023,23,23,True
Республика Адыгея,2024,23,23,True
Республика Адыгея,2025,23,23,True
Республика Алтай,2012,23,23,True
Республика Алтай,2013,23,23,True
Республика Алтай,2014,23,23,True
Республика Алтай,2015,23,23,True
Республика Алтай,2016,23,23,True
Республика Алтай,2019,23,23,True
Республика Алтай,2020,23,23,True
Республика Алтай,2021,23,23,True
Республика Алтай,2023,23,23,True
Республика Алтай,2024,23,23,True
Республика Алтай,2025,23,23,True
Республика Башкортостан,2012,23,23,True
Республика Башкортостан,2013,23,23,True
Республика Башкортостан,2014,23,23,True
Республика Башкортостан,2015,23,23,True
Республика Башкортостан,2016,23,23,True
Республика Башкортостан,2018,23,23,True
Республика Башкортостан,2019,23,23,True
Республика Башкортостан,2020,23,23,True
Республика Башкортостан,2021,23,23,True
Республика Башкортостан,2022,23,23,True
Республика Башкортостан,2023,23,23,True
Республика Башкортостан,2024,23,23,True
Республика Бурятия,2012,23,23,True
Республика Бурятия,2013,23,23,True
Республика Бурятия,2014,23,23,True
Республика Бурятия,2015,23,23,True
Республика Бурятия,2016,23,23,True
Республика Бурятия,2018,23,23,True
Республика Бурятия,2019,23,23,True
Республика Бурятия,2020,23,23,True
Республика Бурятия,2021,23,23,True
Республика Бурятия,2022,23,23,True
Республика Бурятия,2023,23,23,True
Республика Бурятия,2024,23,23,True
Республика Бурятия,2025,23,23,True
Республика Дагестан,2012,23,23,True
Республика Дагестан,2013,23,23,True
Республика Дагестан,2014,23,23,True
Республика Дагестан,2015,23,23,True
Республика Дагестан,2016,23,23,True
Республика Дагестан,2018,23,23,True
Республика Дагестан,2019,23,23,True
Республика Дагестан,2020,23,23,True
Республика Дагестан,2021,23,23,True
Республика Дагестан,2022,23,23,True
Республика Дагестан,2023,23,23,True
Республика Дагестан,2024,23,23,True
Республика Дагестан,2025,23,23,True
Республика Ингушетия,2012,23,23,True
Республика Ингушетия,2014,23,23,True
Республика Ингушетия,2015,23,23,True
Республика Ингушетия,2016,23,23,True
Республика Ингушетия,2018,23,23,True
Республика Ингушетия,2019,23,23,True
Республика Ингушетия,2020,23,23,True
Республика Ингушетия,2023,23,23,True
Республика Ингушетия,2024,23,23,True
Республика Ингушетия,2025,23,23,True
Республика Калмыкия,2012,23,23,True
Республика Калмыкия,2013,23,23,True
Республика Калмыкия,2014,23,23,True
Республика Калмыкия,2015,23,23,True
Республика Калмыкия,2016,23,23,True
Республика Калмыкия,2018,23,23,True
Республика Калмыкия,2019,23,23,True
Республика Калмыкия,2020,23,23,True
Республика Калмыкия,2021,23,23,True
Республика Калмыкия,2022,23,23,True
Республика Калмыкия,2023,23,23,True
Республика Калмыкия,2024,23,23,True
Республика Калмыкия,2025,23,23,True
Республика Карелия,2013,23,23,True
Республика Карелия,2014,23,23,True
Республика Карелия,2015,23,23,True
Республика Карелия,2016,23,23,True
Республика Карелия,2018,23,23,True
Республика Карелия,2019,23,23,True
Республика Карелия,2020,23,23,True
Республика Карелия,2021,23,23,True
Республика Карелия,2022,23,23,True
Республика Карелия,2023,23,23,True
Республика Карелия,2024,23,23,True
Республика Карелия,2025,23,23,True
Республика Коми,2012,23,23,True
Республика Коми,2016,23,23,True
Республика Коми,2021,23,23,True
Республика Коми,2024,23,23,True
Республика Коми,2025,23,23,True
Республика Марий Эл,2012,23,23,True
Республика Марий Эл,2014,23,23,True
Республика Марий Эл,2015,23,23,True
Республика Марий Эл,2016,23,23,True
Республика Марий Эл,2018,23,23,True
Республика Марий Эл,2019,23,23,True
Республика Марий Эл,2020,23,23,True
Республика Марий Эл,2021,23,23,True
Республика Марий Эл,2022,23,23,True
Республика Марий Эл,2023,23,23,True
Республика Марий Эл,2024,23,23,True
Республика Марий Эл,2025,23,23,True
Республика Мордовия,2012,23,23,True
Республика Мордовия,2013,23,23,True
Республика Мордовия,2014,23,23,True
Республика Мордовия,2015,23,23,True
Республика Мордовия,2016,23,23,True
Республика Мордовия,2018,23,23,True
Республика Мордовия,2019,23,23,True
Республика Мордовия,2020,23,23,True
Республика Мордовия,2021,23,23,True
Республика Мордовия,2022,23,23,True
Республика Мордовия,2023,23,23,True
Республика Мордовия,2024,23,23,True
Республика Мордовия,2025,23,23,True
Республика Северная Осетия – Алания,2012,23,23,True
Республика Северная Осетия – Алания,2013,23,23,True
Республика Северная Осетия – Алания,2014,23,23,True
Республика Северная Осетия – Алания,2015,23,23,True
Республика Северная Осетия – Алания,2016,23,23,True
Республика Северная Осетия – Алания,2018,23,23,True
Республика Северная Осетия – Алания,2019,23,23,True
Республика Северная Осетия – Алания,2020,23,23,True
Республика Северная Осетия – Алания,2023,23,23,True
Республика Северная Осетия – Алания,2024,23,23,True
Республика Северная Осетия – Алания,2025,23,23,True
Республика Татарстан,2012,23,23,True
Республика Татарстан,2013,23,23,True
Республика Татарстан,2014,23,23,True
Республика Татарстан,2015,23,23,True
Республика Татарстан,2016,23,23,True
Республика Татарстан,2018,23,23,True
Республика Татарстан,2019,23,23,True
Республика Татарстан,2020,23,23,True
Республика Татарстан,2021,23,23,True
Республика Татарстан,2022,23,23,True
Республика Татарстан,2023,23,23,True
Республика Татарстан,2024,23,23,True
Республика Татарстан,2025,23,23,True
Республика Тыва,2012,23,23,True
Республика Тыва,2013,23,23,True
Республика Тыва,2014,23,23,True
Республика Тыва,2015,23,23,True
Республика Тыва,2016,23,23,True
Республика Тыва,2018,23,23,True
Республика Тыва,2019,23,23,True
Республика Тыва,2020,23,23,True
Республика Тыва,2021,23,23,True
Республика Тыва,2022,23,23,True
Республика Тыва,2023,23,23,True
Республика Тыва,2024,23,23,True
Республика Тыва,2025,23,23,True
Республика Хакасия,2012,23,23,True
Республика Хакасия,2013,23,23,True
Республика Хакасия,2014,23,23,True
Республика Хакасия,2015,23,23,True
Республика Хакасия,2016,23,23,True
Республика Хакасия,2018,23,23,True
Республика Хакасия,2019,23,23,True
Республика Хакасия,2020,23,23,True
Республика Хакасия,2021,23,23,True
Республика Хакасия,2022,23,23,True
Республика Хакасия,2023,23,23,True
Республика Хакасия,2024,23,23,True
