region,year,reason
Вологодская область,2010,неполный набор высокочастотных периодов
Вологодская область,2011,неполный набор высокочастотных периодов
Вологодская область,2012,неполный набор высокочастотных периодов
Вологодская область,2017,неполный набор высокочастотных периодов
Воронежская область,2005,неполный набор высокочастотных периодов
Воронежская область,2006,неполный набор высокочастотных периодов
Воронежская область,2007,неполный набор высокочастотных периодов
Воронежская область,2008,неполный набор высокочастотных периодов
Воронежская область,2009,неполный набор высокочастотных периодов
Воронежская область,2010,неполный набор высокочастотных периодов
Воронежская область,2011,неполный набор высокочастотных периодов
Воронежская область,2017,неполный набор высокочастотных периодов
Еврейская автономная область,2005,неполный набор высокочастотных периодов
Еврейская автономная область,2006,неполный набор высокочастотных периодов
Еврейская автономная область,2007,неполный набор высокочастотных периодов
Еврейская автономная область,2008,неполный набор высокочастотных периодов
Еврейская автономная область,2009,неполный набор высокочастотных периодов
Еврейская автономная область,2010,неполный набор высокочастотных периодов
Еврейская автономная область,2011,неполный набор высокочастотных периодов
Еврейская автономная область,2017,неполный набор высокочастотных периодов
Забайкальский край,2005,неполный набор высокочастотных периодов
Забайкальский край,2006,неполный набор высокочастотных периодов
Забайкальский край,2007,неполный набор высокочастотных периодов
Забайкальский край,2008,неполный набор высокочастотных периодов
Забайкальский край,2009,неполный набор высокочастотных периодов
Забайкальский край,2010,неполный набор высокочастотных периодов
Забайкальский край,2011,неполный набор высокочастотных периодов
Забайкальский край,2017,неполный набор высокочастотных периодов
Ивановская область,2005,неполный набор высокочастотных периодов
Ивановская область,2006,неполный набор высокочастотных периодов
Ивановская область,2007,неполный набор высокочастотных периодов
Ивановская область,2008,неполный набор высокочастотных периодов
Ивановская область,2009,неполный набор высокочастотных периодов
Ивановская область,2010,неполный набор высокочастотных периодов
Ивановская область,2011,неполный набор высокочастотных периодов
Ивановская область,2013,неполный набор высокочастотных периодов
Ивановская область,2017,неполный набор высокочастотных периодов
Иркутская область,2005,неполный набор высокочастотных периодов
Иркутская область,2006,неполный набор высокочастотных периодов
Иркутская область,2007,неполный набор высокочастотных периодов
Иркутская область,2008,неполный набор высокочастотных периодов
Иркутская область,2009,неполный набор высокочастотных периодов
Иркутская область,2010,неполный набор высокочастотных периодов
Иркутская область,2011,неполный набор высокочастотных периодов
Иркутская область,2017,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2005,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2006,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2007,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2008,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2009,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2010,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2011,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2013,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2017,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2021,неполный набор высокочастотных периодов
Кабардино-Балкарская Республика,2022,неполный набор высокочастотных периодов
Калининградская область,2005,неполный набор высокочастотных периодов
Калининградская область,2006,неполный набор высокочастотных периодов
Калининградская область,2007,неполный набор высокочастотных периодов
Калининградская область,2008,неполный набор высокочастотных периодов
Калининградская область,2009,неполный набор высокочастотных периодов
Калининградская область,2010,неполный набор высокочастотных периодов
Калининградская область,2011,неполный набор высокочастотных периодов
Калининградская область,2017,неполный набор высокочастотных периодов
Калужская область,2005,неполный набор высокочастотных периодов
Калужская область,2006,неполный набор высокочастотных периодов
Калужская область,2007,неполный набор высокочастотных периодов
Калужская область,2008,неполный набор высокочастотных периодов
Калужская область,2009,неполный набор высокочастотных периодов
Калужская область,2010,неполный набор высокочастотных периодов
Калужская область,2011,неполный набор высокочастотных периодов
Калужская область,2017,неполный набор высокочастотных периодов
Камчатский край,2005,неполный набор высокочастотных периодов
Камчатский край,2006,неполный набор высокочастотных периодов
Камчатский край,2007,неполный набор высокочастотных периодов
Камчатский край,2008,неполный набор высокочастотных периодов
Камчатский край,2009,неполный набор высокочастотных периодов
Камчатский край,2010,неполный набор высокочастотных периодов
Камчатский край,2011,неполный набор высокочастотных периодов
Камчатский край,2012,неполный набор высокочастотных периодов
Камчатский край,2013,неполный набор высокочастотных периодов
Камчатский край,2014,неполный набор высокочастотных периодов
Камчатский край,2015,неполный набор высокочастотных периодов
Камчатский край,2016,неполный набор высокочастотных периодов
Камчатский край,2017,неполный набор высокочастотных периодов
Камчатский край,2018,неполный набор высокочастотных периодов
Камчатский край,2019,неполный набор высокочастотных периодов
Камчатский край,2020,неполный набор высокочастотных периодов
Камчатский край,2021,неполный набор высокочастотных периодов
Камчатский край,2022,неполный набор высокочастотных периодов
Камчатский край,2023,неполный набор высокочастотных периодов
Камчатский край,2024,неполный набор высокочастотных периодов
Камчатский край,2025,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2005,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2006,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2007,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2008,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2009,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2010,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2011,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2017,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2022,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2023,неполный набор высокочастотных периодов
Карачаево-Черкесская Республика,2024,неполный набор высокочастотных периодов
Кемеровская область,2005,неполный набор высокочастотных периодов
Кемеровская область,2006,неполный набор высокочастотных периодов
Кемеровская область,2007,неполный набор высокочастотных периодов
Кемеровская область,2008,неполный набор высокочастотных периодов
Кемеровская область,2009,неполный набор высокочастотных периодов
Кемеровская область,2010,неполный набор высокочастотных периодов
Кемеровская область,2011,неполный набор высокочастотных периодов
Кемеровская область,2017,неполный набор высокочастотных периодов
Кировская область,2005,неполный набор высокочастотных периодов
Кировская область,2006,неполный набор высокочастотных периодов
Кировская область,2007,неполный набор высокочастотных периодов
Кировская область,2008,неполный набор высокочастотных периодов
Кировская область,2009,неполный набор высокочастотных периодов
Кировская область,2010,неполный набор высокочастотных периодов
Кировская область,2011,неполный набор высокочастотных периодов
Кировская область,2017,неполный набор высокочастотных периодов
Костромская область,2005,неполный набор высокочастотных периодов
Костромская область,2006,неполный набор высокочастотных периодов
Костромская область,2007,неполный набор высокочастотных периодов
Костромская область,2008,неполный набор высокочастотных периодов
Костромская область,2009,неполный набор высокочастотных периодов
Костромская область,2010,неполный набор высокочастотных периодов
Костромская область,2011,неполный набор высокочастотных периодов
Костромская область,2013,неполный набор высокочастотных периодов
Костромская область,2017,неполный набор высокочастотных периодов
Костромская область,2019,неполный набор высокочастотных периодов
Краснодарский край,2005,неполный набор высокочастотных периодов
Краснодарский край,2006,неполный набор высокочастотных периодов
Краснодарский край,2007,неполный набор высокочастотных периодов
Краснодарский край,2008,неполный набор высокочастотных периодов
Краснодарский край,2009,неполный набор высокочастотных периодов
Краснодарский край,2010,неполный набор высокочастотных периодов
Краснодарский край,2011,неполный набор высокочастотных периодов
Краснодарский край,2017,неполный набор высокочастотных периодов
Красноярский край,2005,неполный набор высокочастотных периодов
Красноярский край,2006,неполный набор высокочастотных периодов
Красноярский край,2007,неполный набор высокочастотных периодов
Красноярский край,2008,неполный набор высокочастотных периодов
Красноярский край,2009,неполный набор высокочастотных периодов
Красноярский край,2010,неполный набор высокочастотных периодов
Красноярский край,2011,неполный набор высокочастотных периодов
Красноярский край,2017,неполный набор высокочастотных периодов
Курганская область,2005,неполный набор высокочастотных периодов
Курганская область,2006,неполный набор высокочастотных периодов
Курганская область,2007,неполный набор высокочастотных периодов
Курганская область,2008,неполный набор высокочастотных периодов
Курганская область,2009,неполный набор высокочастотных периодов
Курганская область,2010,неполный набор высокочастотных периодов
Курганская область,2011,неполный набор высокочастотных периодов
Курганская область,2017,неполный набор высокочастотных периодов
Курганская область,2025,неполный набор высокочастотных периодов
Курская область,2005,неполный набор высокочастотных периодов
Курская область,2006,неполный набор высокочастотных периодов
Курская область,2007,неполный набор высокочастотных периодов
Курская область,2008,неполный набор высокочастотных периодов
Курская область,2009,неполный набор высокочастотных периодов
Курская область,2010,неполный набор высокочастотных периодов
Курская область,2011,неполный набор высокочастотных периодов
Курская область,2017,неполный набор высокочастотных периодов
Ленинградская область,2005,неполный набор высокочастотных периодов
Ленинградская область,2006,неполный набор высокочастотных периодов
Ленинградская область,2007,неполный набор высокочастотных периодов
Ленинградская область,2008,неполный набор высокочастотных периодов
Ленинградская область,2009,неполный набор высокочастотных периодов
Ленинградская область,2010,неполный набор высокочастотных периодов
Ленинградская область,2011,неполный набор высокочастотных периодов
Ленинградская область,2017,неполный набор высокочастотных периодов
Липецкая область,2005,неполный набор высокочастотных периодов
Липецкая область,2006,неполный набор высокочастотных периодов
Липецкая область,2007,неполный набор высокочастотных периодов
Липецкая область,2008,неполный набор высокочастотных периодов
Липецкая область,2009,неполный набор высокочастотных периодов
Липецкая область,2010,неполный набор высокочастотных периодов
Липецкая область,2011,неполный набор высокочастотных периодов
Липецкая область,2017,неполный набор высокочастотных периодов
Московская область,2005,неполный набор высокочастотных периодов
Московская область,2006,неполный набор высокочастотных периодов
Московская область,2007,неполный набор высокочастотных периодов
Московская область,2008,неполный набор высокочастотных периодов
Московская область,2009,неполный набор высокочастотных периодов
Московская область,2010,неполный набор высокочастотных периодов
Московская область,2011,неполный набор высокочастотных периодов
Московская область,2017,неполный набор высокочастотных периодов
Нижегородская область,2005,неполный набор высокочастотных периодов
Нижегородская область,2006,неполный набор высокочастотных периодов
Нижегородская область,2007,неполный набор высокочастотных периодов
Нижегородская область,2008,неполный набор высокочастотных периодов
Нижегородская область,2009,неполный набор высокочастотных периодов
Нижегородская область,2010,неполный набор высокочастотных периодов
Нижегородская область,2011,неполный набор высокочастотных периодов
Нижегородская область,2017,неполный набор высокочастотных периодов
Новгородская область,2005,неполный набор высокочастотных периодов
Новгородская область,2006,неполный набор высокочастотных периодов
Новгородская область,2007,неполный набор высокочастотных периодов
Новгородская область,2008,неполный набор высокочастотных периодов
Новгородская область,2009,неполный набор высокочастотных периодов
Новгородская область,2010,неполный набор высокочастотных периодов
Новгородская область,2011,неполный набор высокочастотных периодов
Новгородская область,2017,неполный набор высокочастотных периодов
Новосибирская область,2005,неполный набор высокочастотных периодов
Новосибирская область,2006,неполный набор высокочастотных периодов
Новосибирская область,2007,неполный набор высокочастотных периодов
Новосибирская область,2008,неполный набор высокочастотных периодов
Новосибирская область,2009,неполный набор высокочастотных периодов
Новосибирская область,2010,неполный набор высокочастотных периодов
Новосибирская область,2011,неполный набор высокочастотных периодов
Новосибирская область,2017,неполный набор высокочастотных периодов
Омская область,2005,неполный набор высокочастотных периодов
Омская область,2006,неполный набор высокочастотных периодов
Омская область,2007,неполный набор высокочастотных периодов
Омская область,2008,неполный набор высокочастотных периодов
Омская область,2009,неполный набор высокочастотных периодов
Омская область,2010,неполный набор высокочастотных периодов
Омская область,2011,неполный набор высокочастотных периодов
Омская область,2017,неполный набор высокочастотных периодов
Оренбургская область,2005,неполный набор высокочастотных периодов
Оренбургская область,2006,неполный набор высокочастотных периодов
Оренбургская область,2007,неполный набор высокочастотных периодов
Оренбургская область,2008,неполный набор высокочастотных периодов
Оренбургская область,2009,неполный набор высокочастотных периодов
Оренбургская область,2010,неполный набор высокочастотных периодов
Оренбургская область,2011,неполный набор высокочастотных периодов
Оренбургская область,2017,неполный набор высокочастотных периодов
Оренбургская область,2025,неполный набор высокочастотных периодов
Орловская область,2005,неполный набор высокочастотных периодов
Орловская область,2006,неполный набор высокочастотных периодов
Орловская область,2007,неполный набор высокочастотных периодов
Орловская область,2008,неполный набор высокочастотных периодов
Орловская область,2009,неполный набор высокочастотных периодов
Орловская область,2010,неполный набор высокочастотных периодов
Орловская область,2011,неполный набор высокочастотных периодов
Орловская область,2017,неполный набор высокочастотных периодов
Пензенская область,2005,неполный набор высокочастотных периодов
Пензенская область,2006,неполный набор высокочастотных периодов
Пензенская область,2007,неполный набор высокочастотных периодов
Пензенская область,2008,неполный набор высокочастотных периодов
Пензенская область,2009,неполный набор высокочастотных периодов
Пензенская область,2010,неполный набор высокочастотных периодов
Пензенская область,2011,неполный набор высокочастотных периодов
Пензенская область,2017,неполный набор высокочастотных периодов
Пермский край,2005,неполный набор высокочастотных периодов
Пермский край,2006,неполный набор высокочастотных периодов
Пермский край,2007,неполный набор высокочастотных периодов
Пермский край,2008,неполный набор высокочастотных периодов
Пермский край,2009,неполный набор высокочастотных периодов
Пермский край,2010,неполный набор высокочастотных периодов
Пермский край,2011,неполный набор высокочастотных периодов
Пермский край,2015,неполный набор высокочастотных периодов
Пермский край,2017,неполный набор высокочастотных периодов
Приморский край,2005,неполный набор высокочастотных периодов
Приморский край,2006,неполный набор высокочастотных периодов
Приморский край,2007,неполный набор высокочастотных периодов
Приморский край,2008,неполный набор высокочастотных периодов
Приморский край,2009,неполный набор высокочастотных периодов
Приморский край,2010,неполный набор высокочастотных периодов
Приморский край,2011,неполный набор высокочастотных периодов
Приморский край,2017,неполный набор высокочастотных периодов
Псковская область,2005,неполный набор высокочастотных периодов
Псковская область,2006,неполный набор высокочастотных периодов
Псковская область,2007,неполный набор высокочастотных периодов
Псковская область,2008,неполный набор высокочастотных периодов
Псковская область,2009,неполный набор высокочастотных периодов
Псковская область,2010,неполный набор высокочастотных периодов
Псковская область,2011,неполный набор высокочастотных периодов
Псковская область,2017,неполный набор высокочастотных периодов
Республика Адыгея,2005,неполный набор высокочастотных периодов
Республика Адыгея,2006,неполный набор высокочастотных периодов
Республика Адыгея,2007,неполный набор высокочастотных периодов
Республика Адыгея,2008,неполный набор высокочастотных периодов
Республика Адыгея,2009,неполный набор высокочастотных периодов
Республика Адыгея,2010,неполный набор высокочастотных периодов
Республика Адыгея,2011,неполный набор высокочастотных периодов
Республика Адыгея,2017,неполный набор высокочастотных периодов
Республика Адыгея,2022,неполный набор высокочастотных периодов
Республика Алтай,2005,неполный набор высокочастотных периодов
Республика Алтай,2006,неполный набор высокочастотных периодов
Республика Алтай,2007,неполный набор высокочастотных периодов
Республика Алтай,2008,неполный набор высокочастотных периодов
Республика Алтай,2009,неполный набор высокочастотных периодов
Республика Алтай,2010,неполный набор высокочастотных периодов
Республика Алтай,2011,неполный набор высокочастотных периодов
Республика Алтай,2017,неполный набор высокочастотных периодов
Республика Алтай,2018,неполный набор высокочастотных периодов
Республика Алтай,2022,неполный набор высокочастотных периодов
Республика Башкортостан,2005,неполный набор высокочастотных периодов
Республика Башкортостан,2006,неполный набор высокочастотных периодов
Республика Башкортостан,2007,неполный набор высокочастотных периодов
Республика Башкортостан,2008,неполный набор высокочастотных периодов
Республика Башкортостан,2009,неполный набор высокочастотных периодов
Республика Башкортостан,2010,неполный набор высокочастотных периодов
Республика Башкортостан,2011,неполный набор высокочастотных периодов
Республика Башкортостан,2017,неполный набор высокочастотных периодов
Республика Башкортостан,2025,неполный набор высокочастотных периодов
Республика Бурятия,2005,неполный набор высокочастотных периодов
Республика Бурятия,2006,неполный набор высокочастотных периодов
Республика Бурятия,2007,неполный набор высокочастотных периодов
Республика Бурятия,2008,неполный набор высокочастотных периодов
Республика Бурятия,2009,неполный набор высокочастотных периодов
Республика Бурятия,2010,неполный набор высокочастотных периодов
Республика Бурятия,2011,неполный набор высокочастотных периодов
Республика Бурятия,2017,неполный набор высокочастотных периодов
Республика Дагестан,2005,неполный набор высокочастотных периодов
Республика Дагестан,2006,неполный набор высокочастотных периодов
Республика Дагестан,2007,неполный набор высокочастотных периодов
Республика Дагестан,2008,неполный набор высокочастотных периодов
Республика Дагестан,2009,неполный набор высокочастотных периодов
Республика Дагестан,2010,неполный набор высокочастотных периодов
Республика Дагестан,2011,неполный набор высокочастотных периодов
Республика Дагестан,2017,неполный набор высокочастотных периодов
Республика Ингушетия,2005,неполный набор высокочастотных периодов
Республика Ингушетия,2006,неполный набор высокочастотных периодов
Республика Ингушетия,2007,неполный набор высокочастотных периодов
Республика Ингушетия,2008,неполный набор высокочастотных периодов
Республика Ингушетия,2009,неполный набор высокочастотных периодов
Республика Ингушетия,2010,неполный набор высокочастотных периодов
Республика Ингушетия,2011,неполный набор высокочастотных периодов
Республика Ингушетия,2013,неполный набор высокочастотных периодов
Республика Ингушетия,2017,неполный набор высокочастотных периодов
Республика Ингушетия,2021,неполный набор высокочастотных периодов
Республика Ингушетия,2022,неполный набор высокочастотных периодов
Республика Калмыкия,2005,неполный набор высокочастотных периодов
Республика Калмыкия,2006,неполный набор высокочастотных периодов
Республика Калмыкия,2007,неполный набор высокочастотных периодов
Республика Калмыкия,2008,неполный набор высокочастотных периодов
Республика Калмыкия,2009,неполный набор высокочастотных периодов
Республика Калмыкия,2010,неполный набор высокочастотных периодов
Республика Калмыкия,2011,неполный набор высокочастотных периодов
Республика Калмыкия,2017,неполный набор высокочастотных периодов
Республика Карелия,2005,неполный набор высокочастотных периодов
Республика Карелия,2006,неполный набор высокочастотных периодов
Республика Карелия,2007,неполный набор высокочастотных периодов
Республика Карелия,2008,неполный набор высокочастотных периодов
Республика Карелия,2009,неполный набор высокочастотных периодов
Республика Карелия,2010,неполный набор высокочастотных периодов
Республика Карелия,2011,неполный набор высокочастотных периодов
Республика Карелия,2012,неполный набор высокочастотных периодов
Республика Коми,2005,неполный набор высокочастотных периодов
Республика Коми,2006,неполный набор высокочастотных периодов
Республика Коми,2007,неполный набор высокочастотных периодов
Республика Коми,2008,неполный набор высокочастотных периодов
Республика Коми,2009,неполный набор высокочастотных периодов
Республика Коми,2010,неполный набор высокочастотных периодов
Республика Коми,2011,неполный набор высокочастотных периодов
Республика Коми,2013,неполный набор высокочастотных периодов
Республика Коми,2014,неполный набор высокочастотных периодов
Республика Коми,2015,неполный набор высокочастотных периодов
Республика Марий Эл,2005,неполный набор высокочастотных периодов
Республика Марий Эл,2006,неполный набор высокочастотных периодов
Республика Марий Эл,2007,неполный набор высокочастотных периодов
Республика Марий Эл,2008,неполный набор высокочастотных периодов
Республика Марий Эл,2009,неполный набор высокочастотных периодов
Республика Марий Эл,2010,неполный набор высокочастотных периодов
Республика Марий Эл,2011,неполный набор высокочастотных периодов
Республика Марий Эл,2013,неполный набор высокочастотных периодов
Республика Марий Эл,2017,неполный набор высокочастотных периодов
Республика Мордовия,2005,неполный набор высокочастотных периодов
Республика Мордовия,2006,неполный набор высокочастотных периодов
Республика Мордовия,2007,неполный набор высокочастотных периодов
Республика Мордовия,2008,неполный набор высокочастотных периодов
Республика Мордовия,2009,неполный набор высокочастотных периодов
Республика Мордовия,2010,неполный набор высокочастотных периодов
Республика Мордовия,2011,неполный набор высокочастотных периодов
Республика Мордовия,2017,неполный набор высокочастотных периодов
Республика Саха (Якутия),2005,неполный набор высокочастотных периодов
Республика Саха (Якутия),2006,неполный набор высокочастотных периодов
Республика Саха (Якутия),2007,неполный набор высокочастотных периодов
Республика Саха (Якутия),2008,неполный набор высокочастотных периодов
Республика Саха (Якутия),2009,неполный набор высокочастотных периодов
Республика Саха (Якутия),2010,неполный набор высокочастотных периодов
Республика Саха (Якутия),2011,неполный набор высокочастотных периодов
Республика Саха (Якутия),2012,неполный набор высокочастотных периодов
Республика Саха (Якутия),2013,неполный набор высокочастотных периодов
Республика Саха (Якутия),2014,неполный набор высокочастотных периодов
Республика Саха (Якутия),2015,неполный набор высокочастотных периодов
Республика Саха (Якутия),2016,неполный набор высокочастотных периодов
Республика Саха (Якутия),2017,неполный набор высокочастотных периодов
Республика Саха (Якутия),2018,неполный набор высокочастотных периодов
Республика Саха (Якутия),2019,неполный набор высокочастотных периодов
Республика Саха (Якутия),2020,неполный набор высокочастотных периодов
Республика Саха (Якутия),2021,неполный набор высокочастотных периодов
Республика Саха (Якутия),2022,неполный набор высокочастотных периодов
Республика Саха (Якутия),2023,неполный набор высокочастотных периодов
Республика Саха (Якутия),2024,неполный набор высокочастотных периодов
Республика Саха (Якутия),2025,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2005,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2006,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2007,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2008,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2009,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2010,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2011,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2017,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2021,неполный набор высокочастотных периодов
Республика Северная Осетия – Алания,2022,неполный набор высокочастотных периодов
Республика Татарстан,2005,неполный набор высокочастотных периодов
Республика Татарстан,2006,неполный набор высокочастотных периодов
Республика Татарстан,2007,неполный набор высокочастотных периодов
Республика Татарстан,2008,неполный набор высокочастотных периодов
Республика Татарстан,2009,неполный набор высокочастотных периодов
Республика Татарстан,2010,неполный набор высокочастотных периодов
Республика Татарстан,2011,неполный набор высокочастотных периодов
Республика Татарстан,2017,неполный набор высокочастотных периодов
Республика Тыва,2005,неполный набор высокочастотных периодов
Республика Тыва,2006,неполный набор высокочастотных периодов
Республика Тыва,2007,неполный набор высокочастотных периодов
Республика Тыва,2008,неполный набор высокочастотных периодов
Республика Тыва,2009,неполный набор высокочастотных периодов
Республика Тыва,2010,неполный набор высокочастотных периодов
Республика Тыва,2011,неполный набор высокочастотных периодов
Республика Тыва,2017,неполный набор высокочастотных периодов
Республика Хакасия,2005,неполный набор высокочастотных периодов
Республика Хакасия,2006,неполный набор высокочастотных периодов
Республика Хакасия,2007,неполный набор высокочастотных периодов
Республика Хакасия,2008,неполный набор высокочастотных периодов
Республика Хакасия,2009,неполный набор высокочастотных периодов
Республика Хакасия,2010,неполный набор высокочастотных периодов
Республика Хакасия,2011,неполный набор высокочастотных периодов
Республика Хакасия,2017,неполный набор высокочастотных периодов
Республика Хакасия,2025,неполный набор высокочастотных периодов
Ростовская область,2005,неполный набор высокочастотных периодов
Ростовская область,2006,неполный набор высокочастотных периодов
Ростовская область,2007,неполный набор высокочастотных периодов
Ростовская область,2008,неполный набор высокочастотных периодов
Ростовская область,2009,неполный набор высокочастотных периодов
Ростовская область,2010,неполный набор высокочастотных периодов
Ростовская область,2011,неполный набор высокочастотных периодов
Ростовская область,2017,неполный набор высокочастотных периодов
Ростовская область,2022,неполный набор высокочастотных периодов
Рязанская область,2005,неполный набор высокочастотных периодов
Рязанская область,2006,неполный набор высокочастотных периодов
Рязанская область,2007,неполный набор высокочастотных периодов
Рязанская область,2008,неполный набор высокочастотных периодов
Рязанская область,2009,неполный набор высокочастотных периодов
Рязанская область,2010,неполный набор высокочастотных периодов
Рязанская область,2011,неполный набор высокочастотных периодов
Рязанская область,2017,неполный набор высокочастотных периодов
Самарская область,2005,неполный набор высокочастотных периодов
Самарская область,2006,неполный набор высокочастотных периодов
Самарская область,2007,неполный набор высокочастотных периодов
Самарская область,2008,неполный набор высокочастотных периодов
Самарская область,2009,неполный набор высокочастотных периодов
Самарская область,2010,неполный набор высокочастотных периодов
Самарская область,2011,неполный набор высокочастотных периодов
Самарская область,2017,неполный набор высокочастотных периодов
Саратовская область,2005,неполный набор высокочастотных периодов
Саратовская область,2006,неполный набор высокочастотных периодов
Саратовская область,2007,неполный набор высокочастотных периодов
Саратовская область,2008,неполный набор высокочастотных периодов
Саратовская область,2009,неполный набор высокочастотных периодов
Саратовская область,2010,неполный набор высокочастотных периодов
Саратовская область,2011,неполный набор высокочастотных периодов
Саратовская область,2017,неполный набор высокочастотных периодов
Свердловская область,2005,неполный набор высокочастотных периодов
Свердловская область,2006,неполный набор высокочастотных периодов
Свердловская область,2007,неполный набор высокочастотных периодов
